TS_num,     Mem_Usage,  Prometheus
10000,      3.942GB,    436.4MB
20000,      7.342GB,    871.1MB
30000,      11.56GB,    1.307GB
40000,      12.46GB,    1.742GB
50000,      12.67GB,    2.147GB
60000,      13.66GB,    2.568GB
70000,      14.19GB,    3.003GB
80000,      14.26GB,    3.423GB
90000,      14.32GB,    3.859GB
100000,     15.16GB,    4.279GB
110000,     17.09GB,    4.714GB
120000,     17.91GB,    5.135GB
130000,     18.08GB,    5.570GB
140000,     18.17GB,    5.990GB
150000,     18.59GB,    6.411GB
160000,     18.61GB,    6.846GB
170000,     18.61GB,    7.266GB
180000,     18.99GB,    7.702GB
190000,     19.22GB,    8.122GB
200000,     21.50GB,    8.557GB









